NumSteps	TimeMs	Time%	TasksNum	Tasks%	Watts	
6	990	6.27575	1321	6.75116	46.3159	
8	1132	7.17591	1206	6.16344	45.3228	
3	546	3.46117	590	3.01528	45.9215	
