TimestampMillisecs	[[EmitterVc][WorkersVc][CollectorVc]]	Workers	Frequency	CurrentBandwidth	SmoothedBandwidth	CoeffVarBandwidth	SmoothedLatency	SmoothedUtilization	SmoothedWatts	
23581	[[0][1,2,3,4,5,6,]]	6	1200000	15889	15892.3	0.0524888	377456	99.9771	25.7335	
24082	[[0][1,2,3,4,5,6,]]	6	1200000	15889.5	15892.5	0.0517644	377451	99.9771	25.6847	
24582	[[0][1,2,3,4,5,6,]]	6	1200000	15916.3	15893.1	0.0617294	377436	99.9771	25.7242	
25083	[[0][1,2,3,4,5,6,]]	6	1200000	15893.2	15894.3	0.0557507	377407	99.9771	25.7596	
25583	[[0][1,2,3,4,5,6,]]	6	1200000	15855.4	15890.7	0.0957337	377493	99.977	25.7542	
26084	[[0][1,2,3,4,5,6,]]	6	1200000	15863.7	15888	0.109775	377557	99.977	25.672	
26584	[[0][1,2,3,4,5,6,]]	6	1200000	15895	15888.6	0.110661	377543	99.9769	25.5662	
27085	[[0][1,2,3,4,5,6,]]	6	1200000	15907.7	15889	0.113465	377533	99.9769	25.5811	
27585	[[0][1,2,3,4,5,6,]]	6	1200000	15894.6	15889.3	0.113905	377526	99.9769	25.6213	
28086	[[0][1,2,3,4,5,6,]]	6	1200000	15891	15889.5	0.113941	377520	99.9769	25.5607	
28586	[[0][1,2,3,4,5,6,]]	6	1200000	15894.1	15890.1	0.114278	377508	99.977	25.5632	
29087	[[0][1,2,3,4,5,6,]]	6	1200000	15902.2	15891.3	0.116777	377478	99.977	25.6067	
29587	[[0][1,2,3,4,5,6,]]	6	1200000	15911.1	15890.8	0.112256	377490	99.977	25.6131	
30087	[[0][1,2,3,4,5,6,]]	6	1200000	15894.2	15890.9	0.112362	377488	99.977	25.6623	
30588	[[0][1,2,3,4,5,6,]]	6	1200000	15892.5	15894.6	0.0805219	377400	99.9771	25.6599	
31088	[[0][1,2,3,4,5,6,]]	6	1200000	15887.9	15897	0.0471351	377343	99.9773	25.7355	
31589	[[0][1,2,3,4,5,6,]]	6	1200000	15897.5	15897.3	0.046923	377338	99.9773	25.7957	
32089	[[0][1,2,3,4,5,6,]]	6	1200000	15893.7	15895.9	0.0412039	377371	99.9774	25.7521	
32590	[[0][1,2,3,4,5,6,]]	6	1200000	15883.1	15894.7	0.0484695	377398	99.9773	25.7633	
33090	[[0][1,2,3,4,5,6,]]	6	1200000	15886.5	15894.3	0.0507934	377409	99.9773	25.8115	
33591	[[0][1,2,3,4,5,6,]]	6	1200000	15889.3	15893.8	0.0517671	377420	99.9772	25.8126	
34091	[[0][1,2,3,4,5,6,]]	6	1200000	15901.4	15893.7	0.0512072	377422	99.9773	25.8123	
34592	[[0][1,2,3,4,5,6,]]	6	1200000	15892.8	15891.9	0.033862	377465	99.9772	25.8188	
35092	[[0][1,2,3,4,5,6,]]	6	1200000	15893.1	15891.8	0.0336124	377468	99.9772	25.8099	
35592	[[0][1,2,3,4,5,6,]]	6	1200000	15889.3	15891.5	0.0339329	377476	99.9773	25.8592	
36093	[[0][1,2,3,4,5,6,]]	6	1200000	15888.7	15891.5	0.0336261	377473	99.9772	25.8741	
36593	[[0][1,2,3,4,5,6,]]	6	1200000	15914.4	15893.2	0.056109	377433	99.9772	25.9471	
37094	[[0][1,2,3,4,5,6,]]	6	1200000	15895.6	15893.4	0.0563139	377429	99.9772	25.9778	
37594	[[0][1,2,3,4,5,6,]]	6	1200000	15891.8	15894.3	0.0517874	377408	99.9771	25.9367	
38095	[[0][1,2,3,4,5,6,]]	6	1200000	15893.4	15895	0.048953	377391	99.9771	25.9457	
38595	[[0][1,2,3,4,5,6,]]	6	1200000	15895.6	15895.6	0.0472998	377376	99.9771	25.9565	
39096	[[0][1,2,3,4,5,6,]]	6	1200000	15915.5	15897	0.0611761	377343	99.977	25.9623	
39596	[[0][1,2,3,4,5,6,]]	6	1200000	15891.6	15896.9	0.0616019	377346	99.977	25.9726	
40097	[[0][1,2,3,4,5,6,]]	6	1200000	15889.7	15896.6	0.0628969	377354	99.977	25.9618	
40597	[[0][1,2,3,4,5,6,]]	6	1200000	15890.5	15896.7	0.0623042	377351	99.9769	25.9766	
41097	[[0][1,2,3,4,5,6,]]	6	1200000	15892.4	15897.1	0.060607	377342	99.977	25.9847	
41598	[[0][1,2,3,4,5,6,]]	6	1200000	15899.8	15895.6	0.0478431	377376	99.9769	25.8559	
42098	[[0][1,2,3,4,5,6,]]	6	1200000	15871.3	15893.2	0.0680138	377434	99.9768	25.8222	
42599	[[0][1,2,3,4,5,6,]]	6	1200000	15896.5	15893.6	0.0682422	377423	99.977	25.8071	
43099	[[0][1,2,3,4,5,6,]]	6	1200000	15895.6	15893.8	0.068348	377418	99.977	25.7532	
43600	[[0][1,2,3,4,5,6,]]	6	1200000	15899	15894.2	0.0690719	377410	99.9771	25.7371	
44101	[[0][1,2,3,4,5,6,]]	6	1200000	15905.6	15893.2	0.0574666	377433	99.977	25.6864	
44601	[[0][1,2,3,4,5,6,]]	6	1200000	15894.5	15893.5	0.0573976	377426	99.977	25.6729	
45101	[[0][1,2,3,4,5,6,]]	6	1200000	15895.1	15894	0.0568274	377414	99.9771	25.7005	
45602	[[0][1,2,3,4,5,6,]]	6	1200000	15893.9	15894.4	0.0562997	377406	99.9771	25.6926	
46102	[[0][1,2,3,4,5,6,]]	6	1200000	15891.6	15894.3	0.0564572	377408	99.9772	25.7389	
46603	[[0][1,2,3,4,5,6,]]	6	1200000	15906.6	15895	0.060789	377393	99.9773	25.8621	
47103	[[0][1,2,3,4,5,6,]]	6	1200000	15889.7	15896.8	0.0346792	377349	99.9772	25.913	
47604	[[0][1,2,3,4,5,6,]]	6	1200000	15885.9	15895.7	0.0409322	377374	99.9772	25.8862	
48105	[[0][1,2,3,4,5,6,]]	6	1200000	15880.7	15894.3	0.0506903	377409	99.9772	25.8589	
48605	[[0][1,2,3,4,5,6,]]	6	1200000	15892.5	15893.6	0.0496444	377424	99.9771	25.7241	
49106	[[0][1,2,3,4,5,6,]]	6	1200000	15905.6	15893.6	0.0496215	377424	99.9772	25.6202	
49606	[[0][1,2,3,4,5,6,]]	6	1200000	15882.5	15892.4	0.0542357	377453	99.9772	25.5247	
50107	[[0][1,2,3,4,5,6,]]	6	1200000	15886.5	15891.5	0.0550614	377473	99.9772	25.416	
