NumSteps	TimeMs	Time%	TasksNum	Tasks%	Watts	
18	6281	22.7771	3245	39.6118	48.0295	
5	2954	10.7122	336	4.10156	53.6415	
2	1314	4.76501	100	1.2207	48.3794	
3	2117	7.67697	212	2.58789	56.24	
10	2527	9.16377	2770	33.8135	51.8932	
