#Percentile	PrimaryRequired	PrimaryLossCnt	PrimaryAvg	PrimaryStddev	PrimaryLossAvg	PrimaryLossStddev	SecondaryOptimal	SecondaryAvg	SecondaryStddev	SecondaryLossAvg	SecondaryLossStddev	CalibrationStepsAvg	CalibrationStepsStddev	CalibrationTimeAvg	CalibrationTimeStddev	CalibrationTimePercAvg	CalibrationTimePercStddev	CalibrationTaksAvg	CalibrationTasksStddev	CalibrationTasksPercAvg	CalibrationTasksPercStddev	CalibrationWattsAvg	CalibrationWattsStddev	ReconfigurationTimeWorkersAvg	ReconfigurationTimeWorkersStddev	ReconfigurationTimeFrequencyAvg	ReconfigurationTimeFrequencyStddev	ReconfigurationTimeTotalAvg	ReconfigurationTimeTotalStddev
10	382.0707	0	288.095	0.0	0	0	34.135	35.4445	0.0	3.83623846492	0.0	9.0	0.0	9952.0	0.0	3.45442	0.0	332.0	0.0	4.42844	0.0	48.4921	0.0	831.913	0.0	0.153332	0.0	371.446	0.0
30	992.5661	0	624.629	0.0	0	0	27.8025	30.9072	0.0	11.1669813866	0.0	9.0	0.0	11386.0	0.0	1.82284	0.0	236.0	0.0	3.14793	0.0	36.645	0.0	914.865	0.0	0.392907	0.0	459.303	0.0
50	1603.0615	0	1539.64	0.0	0	0	24.9002	28.7175	0.0	15.3303989526	0.0	11.0	0.0	14631.0	0.0	0.950287	0.0	229.0	0.0	3.05456	0.0	32.4523	0.0	1009.86	0.0	0.389218	0.0	506.813	0.0
70	2213.5569	0	1540.66	0.0	0	0	24.9002	28.5243	0.0	14.5545015703	0.0	11.0	0.0	14703.0	0.0	0.954333	0.0	224.0	0.0	2.99265	0.0	32.1261	0.0	1043.79	0.0	0.361541	0.0	523.775	0.0
90	2824.0523	0	1542.85	0.0	0	0	24.9002	28.6472	0.0	15.048071903	0.0	11.0	0.0	15146.0	0.0	0.981688	0.0	223.0	0.0	2.97452	0.0	30.7177	0.0	1077.16	0.0	0.392686	0.0	540.504	0.0
