TimestampMillisecs	[[EmitterVc][WorkersVc][CollectorVc]]	Workers	Frequency	CurrentBandwidth	SmoothedBandwidth	CoeffVarBandwidth	SmoothedLatency	SmoothedUtilization	SmoothedWatts	
25961	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	2300000	95.6919	97.2408	0.831506	2.26318e+08	99.9986	105.526	
26650	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	2300000	96.9765	97.1311	0.778057	2.2657e+08	99.9986	105.522	
27332	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	2300000	96.9811	97.0209	0.698611	2.26824e+08	99.9986	105.522	
28051	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	2300000	96.2276	96.8341	0.621546	2.27262e+08	99.9986	105.545	
28771	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	2300000	94.8861	96.5352	0.778099	2.27995e+08	99.9986	105.542	
29491	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	2300000	96.767	96.4787	0.729961	2.28128e+08	99.9986	105.5	
30191	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	2300000	95.5996	96.3317	0.747858	2.28481e+08	99.9987	105.222	
30902	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	2300000	95.3854	96.1686	0.761912	2.28872e+08	99.9986	105.217	
31626	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	2300000	95.7536	96.0832	0.755205	2.29072e+08	99.9987	105.242	
32334	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	2300000	95.9627	96.0232	0.73531	2.29215e+08	99.9987	105.251	
33042	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	2300000	96.9647	96.1504	0.783026	2.28923e+08	99.9987	105.254	
33726	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	2300000	95.3724	95.99	0.758202	2.29303e+08	99.9987	105.272	
34418	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	2300000	94.7754	95.7695	0.760468	2.2983e+08	99.9987	105.291	
35122	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	2300000	93.9337	95.5401	0.949577	2.30399e+08	99.9987	105.319	
35853	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	2300000	94.3259	95.484	1.01315	2.30532e+08	99.9987	105.349	
36629	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	2300000	95.1209	95.3194	0.900958	2.3094e+08	99.9987	105.439	
37379	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	2300000	89.5964	94.7191	2.10293	2.32534e+08	99.9987	105.763	
38097	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	2300000	90.1165	94.1922	2.59262	2.33943e+08	99.9987	105.822	
38829	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	2300000	92.4076	93.8576	2.59282	2.34796e+08	99.9987	105.841	
39615	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	2300000	91.0409	93.3654	2.63275	2.36077e+08	99.9987	105.896	
40381	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	2300000	75.8464	91.2536	6.36621	2.42459e+08	99.9988	106.015	
41086	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	2300000	78.4565	89.562	7.64496	2.47518e+08	99.9988	106.072	
41801	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	2300000	96.117	89.6962	7.77344	2.47195e+08	99.9988	106.057	
42530	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	2300000	95.9496	89.8978	7.93772	2.46688e+08	99.9988	106.028	
43246	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	2300000	95.1826	89.9834	8.00121	2.46462e+08	99.9988	106.013	
44015	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	2300000	92.7833	89.7497	7.85612	2.47045e+08	99.9988	105.99	
44812	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	2300000	94.3492	90.225	7.97785	2.45783e+08	99.9988	105.99	
45537	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	2300000	89.005	90.1138	7.99927	2.46065e+08	99.9988	105.964	
46259	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	2300000	96.4601	90.5191	8.24269	2.45042e+08	99.9988	105.926	
46974	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	2300000	95.5809	90.9731	8.39001	2.43857e+08	99.9987	105.864	
47675	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	2300000	94.2338	92.8118	5.92677	2.38142e+08	99.9987	105.764	
48397	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	2300000	92.0537	94.1715	2.46085	2.3395e+08	99.9987	105.74	
49111	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	2300000	94.6958	94.0294	2.36804	2.34301e+08	99.9987	105.773	
49895	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	2300000	95.6319	93.9976	2.33867	2.3438e+08	99.9987	105.83	
50621	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	2300000	87.0936	93.1887	3.26292	2.36532e+08	99.9987	105.86	
51315	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	2300000	95.5683	93.4672	3.34423	2.35828e+08	99.9987	105.872	
52025	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	2300000	96.404	93.6727	3.47491	2.35296e+08	99.9987	105.84	
52762	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	2300000	96.7	94.4422	3.09337	2.33291e+08	99.9987	105.838	
53485	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	2300000	94.9036	94.2866	3.01463	2.33687e+08	99.9987	105.856	
54204	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	2300000	96.2124	94.3497	3.05363	2.33529e+08	99.9987	105.85	
54907	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	2300000	95.5387	94.4802	3.07442	2.33193e+08	99.9987	105.838	
55607	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	2300000	93.2036	94.5952	2.98058	2.32889e+08	99.9987	105.793	
56327	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	2300000	92.1352	94.3391	3.09912	2.33562e+08	99.9988	105.645	
