NumSteps	TimeMs	Time%	TasksNum	Tasks%	Watts	
23	4807	34.7352	4264	21.7918	63.325	
5	1126	8.13643	854	4.36449	55.9427	
5	1281	9.25645	879	4.49226	55.5498	
3	853	6.16374	604	3.08683	54.3452	
