#Percentile	PrimaryRequired	PrimaryLossCnt	PrimaryAvg	PrimaryStddev	PrimaryLossAvg	PrimaryLossStddev	SecondaryOptimal	SecondaryAvg	SecondaryStddev	SecondaryLossAvg	SecondaryLossStddev	CalibrationStepsAvg	CalibrationStepsStddev	CalibrationTimeAvg	CalibrationTimeStddev	CalibrationTimePercAvg	CalibrationTimePercStddev	CalibrationTaksAvg	CalibrationTasksStddev	CalibrationTasksPercAvg	CalibrationTasksPercStddev	CalibrationWattsAvg	CalibrationWattsStddev	ReconfigurationTimeWorkersAvg	ReconfigurationTimeWorkersStddev	ReconfigurationTimeFrequencyAvg	ReconfigurationTimeFrequencyStddev	ReconfigurationTimeTotalAvg	ReconfigurationTimeTotalStddev
10	38.1712	0	31.1582	0.6244240226	0	0	27.6891	29.21618	1.02561620385	5.51509438732	3.70404312112	3.8	0.979795897113	648.0	158.247906779	2.077458	0.490797956614	108.8	21.9763509255	1.813334	0.366273310226	35.06634	2.83358296974	9.191942	3.12011385783	0.15421202	0.0359811354157	11.032416	3.58067657655
30	94.0956	0	72.8514	2.0100732922	0	0	21.2757	21.62192	0.0925377631024	1.62730250944	0.434945797799	5.4	0.8	1390.8	259.161262537	1.91019	0.349679432624	148.0	21.137644145	2.466668	0.352295172967	28.83956	2.52236129894	12.294578	3.38430153011	0.1606218	0.0192172284724	14.13796	3.63600518569
50	150.02	0	80.995	25.6843654545	0	0	19.8738	22.45356	4.374231322	12.9807082692	22.0100399622	4.6	0.8	1167.4	356.290667854	1.499604	0.273673419506	129.4	17.8840711249	2.156668	0.29806718856	30.47278	5.26060455286	11.242376	3.31923756762	0.252559	0.0813509482108	12.088086	2.57102399576
70	205.9444	0	129.842	11.5803061272	0	0	18.9621	15.2437199838	7.62194450903	-19.6095370037	40.1956772142	55.6	101.2	22695.8	41999.8961589	21.0006098	39.5015091001	1310.2	2344.90028786	21.836668	39.0816707981	25.61252	2.42000743172	19.341332	8.99096022855	0.281758	0.0720315280832	21.35707	8.59368548224
90	261.8688	0	142.0672	13.1429200926	0	0	18.9621	18.76638	0.58817579481	-1.03216415903	3.10184945132	43.0	74.005405208	21153.2	37916.8216094	12.818712	22.397621035	1044.8	1760.7155818	17.413332	29.3452603637	25.3389	2.24892160112	23.48916	9.47547948034	0.2106584	0.0363602371862	25.49976	9.20893924936
