NumSteps	TimeMs	Time%	TasksNum	Tasks%	Watts	
8	751	0.932977	30	0.500083	40.6976	
1	102	0.126716	2	0.0333389	35.2138	
1	99	0.122989	4	0.0666778	34.0627	
4	325	0.403752	14	0.233372	50.2836	
3	356	0.442263	11	0.183364	41.7606	
5	373	0.463383	17	0.283381	42.021	
2	221	0.274551	8	0.133356	36.0841	
4	277	0.344121	15	0.250042	42.8515	
2	162	0.201255	8	0.133356	44.8396	
4	480	0.59631	13	0.216703	33.3704	
6	515	0.639791	22	0.366728	39.5391	
2	141	0.175166	7	0.116686	42.7005	
1	69	0.0857196	3	0.0500083	68.699	
1	114	0.141624	3	0.0500083	38.9012	
4	419	0.520529	15	0.250042	32.9481	
6	432	0.536679	21	0.350058	46.5125	
1	70	0.0869619	3	0.0500083	62.2127	
4	286	0.355302	13	0.216703	51.308	
1	91	0.113051	3	0.0500083	29.9195	
4	346	0.42984	18	0.30005	35.1275	
1	66	0.0819927	3	0.0500083	57.8632	
1	92	0.114293	4	0.0666778	30.4126	
2	160	0.19877	8	0.133356	44.1097	
1	72	0.0894465	3	0.0500083	46.9566	
1	80	0.0993851	3	0.0500083	43.0639	
6	529	0.657184	23	0.383397	40.0179	
1	65	0.0807504	3	0.0500083	75.9808	
1	84	0.104354	3	0.0500083	40.669	
6	438	0.544133	21	0.350058	40.9079	
4	389	0.48326	14	0.233372	36.3977	
3	189	0.234797	10	0.166694	51.8317	
3	335	0.416175	10	0.166694	35.1515	
2	167	0.207466	7	0.116686	37.949	
1	70	0.0869619	4	0.0666778	58.5074	
3	248	0.308094	10	0.166694	39.9278	
1	66	0.0819927	3	0.0500083	85.983	
3	213	0.264613	9	0.150025	44.8281	
11	1063	1.32058	37	0.616769	38.3233	
2	137	0.170197	8	0.133356	51.3312	
2	153	0.190074	7	0.116686	47.0983	
3	226	0.280763	11	0.183364	44.5215	
6	535	0.664638	21	0.350058	37.9657	
1	72	0.0894465	3	0.0500083	56.9488	
2	148	0.183862	6	0.100017	61.4266	
3	251	0.311821	11	0.183364	35.2335	
12	895	1.11187	46	0.766794	40.857	
4	345	0.428598	16	0.266711	36.8743	
1	70	0.0869619	3	0.0500083	51.3323	
2	134	0.16647	8	0.133356	49.6376	
1	81	0.100627	4	0.0666778	33.6637	
1	65	0.0807504	4	0.0666778	75.924	
9	707	0.878315	31	0.516753	43.0993	
1	74	0.0919312	4	0.0666778	58.0248	
3	269	0.334182	11	0.183364	39.1009	
2	148	0.183862	6	0.100017	43.1518	
2	138	0.171439	7	0.116686	45.5617	
2	306	0.380148	7	0.116686	31.171	
1	68	0.0844773	4	0.0666778	55.1441	
4	314	0.390086	14	0.233372	45.6295	
5	361	0.448475	17	0.283381	43.0643	
5	317	0.393813	19	0.316719	49.3409	
3	319	0.396298	11	0.183364	35.5862	
7	489	0.607491	24	0.400067	46.7506	
5	382	0.474564	18	0.30005	44.5823	
5	391	0.485744	16	0.266711	38.3389	
3	222	0.275794	10	0.166694	46.6081	
1	53	0.0658426	2	0.0333389	51.4754	
