NumSteps	TimeMs	Time%	TasksNum	Tasks%	Watts	
8	653	0.924536	26	0.433333	42.3865	
3	191	0.270423	10	0.166667	50.3732	
1	88	0.124593	3	0.05	26.8569	
4	393	0.556421	15	0.25	38.3218	
2	168	0.237859	7	0.116667	37.301	
1	71	0.100524	3	0.05	58.8942	
7	557	0.788617	24	0.4	44.8753	
3	226	0.319977	10	0.166667	46.6768	
3	455	0.644202	11	0.183333	30.2747	
1	75	0.106187	3	0.05	41.6223	
2	126	0.178394	6	0.1	59.759	
3	209	0.295908	9	0.15	40.5844	
4	335	0.474303	14	0.233333	40.0265	
6	541	0.765963	21	0.35	37.8817	
1	69	0.0976922	3	0.05	51.9787	
1	79	0.11185	3	0.05	45.6587	
1	72	0.10194	3	0.05	57.7746	
1	81	0.114682	2	0.0333333	34.9684	
5	410	0.58049	17	0.283333	43.2039	
3	216	0.305819	10	0.166667	45.4479	
1	92	0.130256	3	0.05	64.6643	
6	469	0.664024	23	0.383333	39.8791	
4	284	0.402095	15	0.25	55.6389	
1	118	0.167068	4	0.0666667	22.1307	
1	71	0.100524	3	0.05	50.4223	
1	80	0.113266	3	0.05	43.5478	
2	168	0.237859	7	0.116667	38.4012	
12	937	1.32663	43	0.716667	41.0986	
1	65	0.0920289	4	0.0666667	70.3071	
