NumSteps	TimeMs	Time%	TasksNum	Tasks%	Watts	
9	874	1.22122	30	0.507099	40.5958	
6	409	0.571484	22	0.371873	49.3416	
3	289	0.403812	10	0.169033	36.2407	
8	566	0.790856	27	0.456389	47.2024	
1	88	0.12296	3	0.0507099	45.6614	
2	132	0.18444	6	0.10142	52.5898	
1	88	0.12296	3	0.0507099	34.3354	
1	71	0.0992063	3	0.0507099	66.6682	
1	238	0.332551	3	0.0507099	25.787	
1	73	0.102001	3	0.0507099	41.7133	
2	143	0.19981	6	0.10142	65.3698	
3	206	0.287838	9	0.15213	40.9897	
3	258	0.360496	10	0.169033	45.5616	
1	84	0.117371	3	0.0507099	33.3855	
7	554	0.774089	23	0.388776	40.918	
3	201	0.280852	9	0.15213	44.2779	
3	201	0.280852	11	0.185936	55.2482	
1	148	0.206796	4	0.0676133	29.6163	
1	86	0.120165	3	0.0507099	42.1957	
1	112	0.156495	4	0.0676133	40.7787	
1	65	0.0908227	3	0.0507099	83.9409	
1	99	0.13833	3	0.0507099	28.9744	
5	433	0.605019	22	0.371873	42.4981	
1	92	0.128549	4	0.0676133	30.0036	
8	667	0.931981	28	0.473293	41.8119	
2	195	0.272468	8	0.135227	37.5337	
2	139	0.194221	8	0.135227	50.4415	
2	295	0.412195	8	0.135227	37.9682	
2	164	0.229153	8	0.135227	33.8129	
1	67	0.0936173	4	0.0676133	70.1191	
4	276	0.385647	14	0.236646	47.9575	
5	384	0.536553	18	0.30426	42.3918	
1	74	0.103398	3	0.0507099	47.1301	
5	420	0.586854	17	0.287356	45.4886	
1	76	0.106193	4	0.0676133	45.5718	
2	159	0.222166	6	0.10142	52.5511	
1	87	0.121563	3	0.0507099	34.964	
1	68	0.0950145	4	0.0676133	69.6517	
7	499	0.697239	24	0.40568	45.585	
1	76	0.106193	3	0.0507099	55.5655	
4	347	0.484854	13	0.219743	44.0007	
6	430	0.600827	20	0.338066	43.1835	
3	203	0.283646	10	0.169033	44.2089	
9	822	1.14856	37	0.625423	42.0662	
1	77	0.10759	3	0.0507099	53.618	
1	86	0.120165	3	0.0507099	44.998	
2	207	0.289235	8	0.135227	38.2668	
1	88	0.12296	4	0.0676133	31.4024	
10	837	1.16952	34	0.574713	39.2603	
3	219	0.306003	10	0.169033	62.9785	
2	228	0.318578	6	0.10142	35.8944	
