NumSteps	TimeMs	Time%	TasksNum	Tasks%	Watts	
6	476	0.551641	22	0.366667	40.7331	
2	282	0.326813	7	0.116667	37.0225	
4	262	0.303634	13	0.216667	39.359	
2	135	0.156453	8	0.133333	55.9921	
2	274	0.317541	7	0.116667	31.1616	
4	303	0.35115	14	0.233333	40.8955	
2	148	0.171519	7	0.116667	42.9683	
4	348	0.403301	14	0.233333	46.529	
1	90	0.104302	3	0.05	44.8483	
1	85	0.0985073	3	0.05	31.1536	
1	68	0.0788059	3	0.05	67.3512	
6	675	0.782264	19	0.316667	39.5593	
2	152	0.176154	6	0.1	39.2416	
2	129	0.149499	7	0.116667	51.7881	
2	165	0.19122	6	0.1	48.894	
11	885	1.02564	38	0.633333	40.3297	
10	792	0.917856	33	0.55	39.9607	
5	321	0.37201	16	0.266667	51.1011	
2	192	0.222511	6	0.1	42.5094	
1	94	0.108938	3	0.05	28.3937	
7	595	0.689551	25	0.416667	45.3735	
8	712	0.825144	27	0.45	40.1072	
4	311	0.360421	15	0.25	45.3448	
12	897	1.03954	40	0.666667	43.4882	
1	78	0.090395	3	0.05	45.8738	
1	71	0.0822826	3	0.05	57.6262	
14	1062	1.23076	54	0.9	43.2768	
1	97	0.112414	3	0.05	29.6966	
1	69	0.0799648	3	0.05	62.902	
7	513	0.594521	24	0.4	43.5998	
11	854	0.989709	37	0.616667	42.8831	
5	433	0.501808	18	0.3	43.343	
3	219	0.253801	10	0.166667	45.3144	
4	393	0.455452	13	0.216667	38.7914	
1	107	0.124003	4	0.0666667	45.3203	
2	184	0.213239	7	0.116667	32.3187	
1	66	0.076488	3	0.05	66.2012	
1	86	0.0996662	3	0.05	34.7778	
4	308	0.356944	14	0.233333	44.4046	
2	189	0.219034	7	0.116667	38.5059	
1	72	0.0834415	3	0.05	53.2532	
9	716	0.829779	29	0.483333	41.5717	
1	66	0.076488	3	0.05	81.8401	
6	426	0.493696	20	0.333333	52.8188	
3	298	0.345355	14	0.233333	29.7837	
3	202	0.2341	10	0.166667	55.1673	
1	100	0.115891	3	0.05	27.139	
1	68	0.0788059	3	0.05	62.4143	
7	592	0.686075	25	0.416667	40.4158	
2	139	0.161088	6	0.1	47.9104	
2	331	0.383599	7	0.116667	29.2397	
1	72	0.0834415	3	0.05	48.6018	
3	224	0.259596	10	0.166667	38.3305	
2	140	0.162247	7	0.116667	46.6891	
1	69	0.0799648	3	0.05	73.0202	
2	165	0.19122	6	0.1	36.8014	
