TimestampMillisecs	[[EmitterVc][WorkersVc][CollectorVc]]	Workers	Frequency	CurrentBandwidth	SmoothedBandwidth	CoeffVarBandwidth	SmoothedLatency	SmoothedUtilization	SmoothedWatts	
43550	[[0][1,2,3,4,5,]]	5	1500000	16454.4	16470.5	0.127266	303502	99.9765	29.9572	
44050	[[0][1,2,3,4,5,]]	5	1500000	16503.7	16471.4	0.13546	303485	99.9766	29.9605	
44551	[[0][1,2,3,4,5,]]	5	1500000	16493.4	16471.2	0.133749	303490	99.9765	29.5878	
45051	[[0][1,2,3,4,5,]]	5	1500000	16447.3	16466.7	0.132331	303573	99.9764	28.8997	
45552	[[0][1,2,3,4,5,]]	5	1500000	16492.1	16468.1	0.139877	303546	99.9764	29.1696	
46052	[[0][1,2,3,4,5,]]	5	1500000	16446.7	16467.3	0.143777	303561	99.9763	29.3082	
46552	[[0][1,2,3,4,5,]]	5	1500000	16489.1	16467.4	0.144362	303559	99.9763	29.9174	
47053	[[0][1,2,3,4,5,]]	5	1500000	16499.1	16472.6	0.148972	303463	99.9763	30.4316	
47553	[[0][1,2,3,4,5,]]	5	1500000	16463.3	16473.8	0.143424	303441	99.9763	30.4177	
48054	[[0][1,2,3,4,5,]]	5	1500000	16492.1	16478.1	0.136579	303361	99.9763	31.1454	
48554	[[0][1,2,3,4,5,]]	5	1500000	16494	16482.1	0.1294	303289	99.9765	31.8581	
49055	[[0][1,2,3,4,5,]]	5	1500000	16498.5	16481.6	0.126219	303298	99.9764	31.8222	
49555	[[0][1,2,3,4,5,]]	5	1500000	16487	16480.9	0.124334	303310	99.9764	32.0706	
50056	[[0][1,2,3,4,5,]]	5	1500000	16468.8	16483.1	0.10603	303270	99.9764	32.0607	
50556	[[0][1,2,3,4,5,]]	5	1500000	16498	16483.7	0.108679	303259	99.9763	32.0618	
51056	[[0][1,2,3,4,5,]]	5	1500000	16496.6	16488.7	0.0766561	303167	99.9763	32.7189	
51557	[[0][1,2,3,4,5,]]	5	1500000	16473.7	16487.1	0.0818462	303195	99.9763	32.404	
52057	[[0][1,2,3,4,5,]]	5	1500000	16461.9	16483.4	0.0902803	303264	99.9763	32.0152	
52558	[[0][1,2,3,4,5,]]	5	1500000	16502.7	16487.3	0.0859547	303191	99.9762	32.7002	
53058	[[0][1,2,3,4,5,]]	5	1500000	16498.3	16488	0.0881605	303180	99.9763	32.4934	
53559	[[0][1,2,3,4,5,]]	5	1500000	16460.6	16484.6	0.101151	303242	99.9763	31.8383	
54059	[[0][1,2,3,4,5,]]	5	1500000	16491.1	16483.9	0.0979353	303255	99.9763	31.9175	
54559	[[0][1,2,3,4,5,]]	5	1500000	16488	16484	0.0980844	303253	99.9763	31.9615	
55060	[[0][1,2,3,4,5,]]	5	1500000	16500.4	16487.1	0.0968318	303196	99.9764	32.6332	
55560	[[0][1,2,3,4,5,]]	5	1500000	16512.1	16488.5	0.106585	303170	99.9765	32.6801	
56061	[[0][1,2,3,4,5,]]	5	1500000	16502.8	16489.2	0.109124	303159	99.9765	32.5815	
56561	[[0][1,2,3,4,5,]]	5	1500000	16481.4	16489.9	0.105596	303144	99.9764	32.5568	
57062	[[0][1,2,3,4,5,]]	5	1500000	16493	16493	0.0870341	303087	99.9764	33.2055	
57562	[[0][1,2,3,4,5,]]	5	1500000	16467.2	16489.5	0.0969736	303152	99.9765	32.8699	
58062	[[0][1,2,3,4,5,]]	5	1500000	16484.4	16488.1	0.0954647	303177	99.9763	33.0962	
58563	[[0][1,2,3,4,5,]]	5	1500000	16514.7	16493.5	0.0877691	303078	99.9763	33.705	
59063	[[0][1,2,3,4,5,]]	5	1500000	16359.9	16480.4	0.271381	303320	99.9761	32.2286	
