#Workers	Frequency	Time	Watts
1	1200000	97.973	28.2265
1	1300000	98.112	29.3252
1	1400000	87.124	31.7705
1	1500000	81.218	34.1356
1	1600000	89.548	34.4379
1	1700000	92.754	34.8857
1	1800000	66.88	41.4425
1	1900000	88.554	38.9195
1	2000000	71.064	42.7982
1	2100000	59.343	48.3022
1	2200000	55.712	50.6281
1	2300000	55.22	51.8846
1	2400000	50.031	56.2524
2	1200000	99.606	27.8662
2	1300000	116.024	28.129
2	1400000	107.85	29.7343
2	1500000	80.888	34.2757
2	1600000	67.91	38.5879
2	1700000	84.528	36.7736
2	1800000	58.493	43.8383
2	1900000	81.556	39.8849
2	2000000	56.228	48.1626
2	2100000	50.304	51.6761
2	2200000	53.571	52.3607
2	2300000	52.261	54.7754
2	2400000	64.326	52.1864
3	1200000	94.534	29.3748
3	1300000	90.391	31.1443
3	1400000	91.416	31.6882
3	1500000	80.213	35.163
3	1600000	72.443	37.5021
3	1700000	78.265	37.7618
3	1800000	62.473	43.0205
3	1900000	63.766	44.7744
3	2000000	58.699	47.17
3	2100000	62.325	47.3223
3	2200000	53.576	52.6584
3	2300000	50.082	55.4997
3	2400000	48.109	58.4415
4	1200000	96.423	28.6098
4	1300000	88.725	30.6503
4	1400000	83.633	33.2823
4	1500000	76.841	35.208
4	1600000	72.485	37.8471
4	1700000	69	40.2187
4	1800000	67.042	42.1828
4	1900000	61.623	44.767
4	2000000	59.381	47.6927
4	2100000	55.477	50.0453
4	2200000	52.977	53.2022
4	2300000	49.654	56.7332
4	2400000	48.513	60.8454
5	1200000	82.828	30.733
5	1300000	78.838	32.3016
5	1400000	72.927	34.898
5	1500000	66.321	38.0457
5	1600000	62.918	40.3072
5	1700000	58.799	42.9026
5	1800000	59.118	44.2831
5	1900000	53.748	47.7233
5	2000000	50.911	50.5501
5	2100000	47.973	53.7722
5	2200000	46.361	56.3376
5	2300000	44.064	59.156
5	2400000	43.606	61.7857
6	1200000	73.665	32.2015
6	1300000	68.492	34.322
6	1400000	62.411	37.3739
6	1500000	58.403	40.12
6	1600000	56.481	41.7137
6	1700000	51.84	45.6929
6	1800000	48.855	48.4548
6	1900000	47.193	50.1677
6	2000000	44.157	54.0066
6	2100000	41.41	57.994
6	2200000	40.983	59.7098
6	2300000	38.887	62.6615
6	2400000	37.23	65.5434
7	1200000	63.793	34.4839
7	1300000	60.529	36.8122
7	1400000	56.898	39.8948
7	1500000	52.582	41.9615
7	1600000	48.648	45.4655
7	1700000	47.588	46.6856
7	1800000	42.878	51.9416
7	1900000	41.965	54.0664
7	2000000	39.897	56.7142
7	2100000	38.079	59.5671
7	2200000	36.021	63.2383
7	2300000	35.161	66.9925
7	2400000	33.017	70.6063
8	1200000	58.064	36.4486
8	1300000	54.621	38.8033
8	1400000	50.535	41.603
8	1500000	47.284	44.2101
8	1600000	44.363	47.2272
8	1700000	41.368	50.49
8	1800000	39.109	54.1272
8	1900000	36.906	57.5436
8	2000000	34.689	61.165
8	2100000	33.348	64.5743
8	2200000	31.922	67.5473
8	2300000	30.674	71.1741
8	2400000	30.396	72.802
9	1200000	52.582	38.2328
9	1300000	48.528	41.2968
9	1400000	45.415	44.31
9	1500000	42.002	47.3338
9	1600000	40.794	50.3575
9	1700000	38.381	53.5395
9	1800000	35.543	57.7634
9	1900000	33.814	60.6409
9	2000000	32.468	63.6957
9	2100000	31.025	67.5233
9	2200000	29.543	71.6328
9	2300000	28.713	73.207
9	2400000	26.411	79.7948
10	1200000	48.248	39.9672
10	1300000	44.333	43.4963
10	1400000	41.171	46.8813
10	1500000	39.673	48.2519
10	1600000	36.856	52.0871
10	1700000	34.83	55.4662
10	1800000	34.61	58.3621
10	1900000	30.46	64.3433
10	2000000	29.461	67.1321
10	2100000	27.97	70.9086
10	2200000	26.59	75.196
10	2300000	27.026	77.0412
10	2400000	25.425	81.7663
11	1200000	45.157	41.9435
11	1300000	42.173	44.4902
11	1400000	38.596	48.4006
11	1500000	36.17	51.8682
11	1600000	34.272	54.977
11	1700000	31.815	58.6717
11	1800000	30.945	61.7263
11	1900000	31.74	64.0368
11	2000000	27.744	69.3338
11	2100000	25.927	75.0028
11	2200000	24.842	79.5746
11	2300000	24.111	82.3354
11	2400000	23.603	84.6423
12	1200000	41.593	43.809
12	1300000	38.655	46.5751
12	1400000	36.138	50.0457
12	1500000	35.13	52.465
12	1600000	32.565	56.7863
12	1700000	31.431	59.6197
12	1800000	28.872	64.2821
12	1900000	27.791	67.5621
12	2000000	26.125	71.2881
12	2100000	25.004	75.354
12	2200000	23.434	80.1639
12	2300000	23.14	83.3976
12	2400000	21.893	88.7801
13	1200000	40.546	44.0536
13	1300000	37.702	47.1015
13	1400000	35.149	50.9819
13	1500000	33.963	52.8895
13	1600000	32.898	55.6465
13	1700000	29.818	60.334
13	1800000	27.781	64.762
13	1900000	26.392	68.7534
13	2000000	26.65	70.2262
13	2100000	24.259	77.039
13	2200000	22.881	81.3651
13	2300000	22.818	83.6635
13	2400000	21.077	89.9883
14	1200000	39.26	44.4328
14	1300000	36.212	48.591
14	1400000	33.618	51.8082
14	1500000	32.681	54.0007
14	1600000	30.102	58.6575
14	1700000	29.907	60.9456
14	1800000	26.729	66.853
14	1900000	25.105	70.947
14	2000000	24.951	73.2039
14	2100000	24.797	74.6634
14	2200000	23.903	79.7971
14	2300000	21.768	85.5275
14	2400000	21.607	87.3432
15	1200000	37.31	46.3389
15	1300000	35.534	49.0824
15	1400000	32.467	52.9113
15	1500000	31.893	55.4834
15	1600000	30.208	58.3013
15	1700000	28.473	62.6567
15	1800000	26.636	66.8134
15	1900000	26.028	69.3909
15	2000000	23.418	76.2305
15	2100000	23.122	78.5261
15	2200000	22.304	82.8582
15	2300000	20.608	88.2739
15	2400000	20.257	92.4427
16	1200000	36.685	46.606
16	1300000	33.605	50.7636
16	1400000	31.048	54.3505
16	1500000	29.302	57.7181
16	1600000	28.935	60.392
16	1700000	26.432	64.9856
16	1800000	25.914	68.2499
16	1900000	23.625	73.9586
16	2000000	23.272	76.913
16	2100000	22.024	82.4133
16	2200000	21.005	86.9819
16	2300000	20.779	87.9319
16	2400000	20.164	94.1364
17	1200000	36.666	47.395
17	1300000	33.919	50.7759
17	1400000	32.053	54.5735
17	1500000	28.63	58.6277
17	1600000	27.334	61.9859
17	1700000	27.507	65.6297
17	1800000	25.483	69.4524
17	1900000	23.954	74.6362
17	2000000	23.736	77.2261
17	2100000	22.288	81.3793
17	2200000	20.147	88.3736
17	2300000	20.233	92.3281
17	2400000	18.859	98.5434
18	1200000	36.006	48.0674
18	1300000	33.411	51.5287
18	1400000	32.319	55.3369
18	1500000	28.436	59.876
18	1600000	28.342	63.1258
18	1700000	26.322	67.4106
18	1800000	24.776	72.4971
18	1900000	22.468	78.5319
18	2000000	21.479	82.5489
18	2100000	21.224	86.5111
18	2200000	20.322	91.4311
18	2300000	19.655	94.5797
18	2400000	18.24	102.031
19	1200000	35.802	49.8307
19	1300000	32.433	53.0311
19	1400000	31.538	57.581
19	1500000	27.414	61.6394
19	1600000	26.04	66.4597
19	1700000	25.129	70.4583
19	1800000	24.413	75.2744
19	1900000	22.093	79.1315
19	2000000	21.79	83.8907
19	2100000	20.909	88.2619
19	2200000	19.661	93.7923
19	2300000	18.824	97.9945
19	2400000	17.843	104.537
20	1200000	35.201	50.684
20	1300000	34.182	54.2171
20	1400000	31.208	58.9883
20	1500000	29.115	62.6508
20	1600000	26.837	67.2855
20	1700000	26.56	71.342
20	1800000	24.38	75.8726
20	1900000	23.48	80.7228
20	2000000	21.553	85.1074
20	2100000	21.025	90.8823
20	2200000	20.946	93.772
20	2300000	18.955	99.973
20	2400000	18.779	104.606
