#Workers	Frequency	0	Watts	Bandwidth
12	1300000	102.144	41.5127	1149.38
12	1400000	91.704	46.2146	1280.23
12	1500000	85.02	49.6502	1380.88
12	1600000	80.754	52.5902	1453.82
12	1700000	75.348	55.6007	1558.13
12	1800000	72.51	58.2673	1619.11
12	1900000	68.268	62.2335	1719.72
12	2000000	64.248	66.265	1827.33
12	2100000	60.648	71.2241	1935.79
12	2200000	58.614	73.3557	2002.97
12	2300000	56.628	78.0862	2073.21
12	2400000	54.618	81.9822	2149.51
13	1200000	98.622	41.4743	1190.42
13	1300000	91.56	44.7095	1282.24
13	1400000	84.51	47.2595	1389.21
13	1500000	79.284	51.9551	1480.78
13	1600000	78.03	53.7459	1504.58
13	1700000	69.738	58.3245	1683.47
13	1800000	68.394	60.9661	1716.55
13	1900000	62.526	66.2998	1877.65
13	2000000	59.928	68.6215	1959.05
13	2100000	57.942	72.4534	2026.2
13	2200000	55.926	76.8873	2099.24
13	2300000	53.298	79.513	2202.75
13	2400000	52.716	82.6929	2227.07
14	1200000	95.178	41.6702	1233.5
14	1300000	85.194	46.4393	1378.05
14	1400000	80.022	49.7302	1467.12
14	1500000	74.058	53.4534	1585.27
14	1600000	70.668	55.62	1661.32
14	1700000	66.15	58.902	1774.78
14	1800000	64.53	62.4089	1819.34
14	1900000	60.69	67.5365	1934.45
14	2000000	58.362	69.9799	2011.62
14	2100000	54.672	75.8881	2147.39
14	2200000	53.1	77.678	2210.96
14	2300000	48.822	86.4185	2404.69
14	2400000	47.598	87.3426	2466.53
15	1200000	90.378	43.1317	1299.01
15	1300000	83.166	46.7534	1411.66
15	1400000	79.29	50.3828	1480.67
15	1500000	70.668	54.4612	1661.32
15	1600000	67.29	59.1329	1744.72
15	1700000	64.812	61.0667	1811.42
15	1800000	64.98	62.9675	1806.74
15	1900000	64.044	66.9446	1833.15
15	2000000	55.956	74.2765	2098.11
15	2100000	53.16	76.7847	2208.47
15	2200000	50.364	83.4006	2331.07
15	2300000	48.714	87.0982	2410.03
15	2400000	45.774	91.77	2564.82
16	1200000	91.992	44.0105	1276.22
16	1300000	84.45	47.3246	1390.2
16	1400000	76.974	51.5547	1525.22
16	1500000	71.634	55.3944	1638.91
16	1600000	67.572	60.238	1737.44
16	1700000	64.206	63.2993	1828.52
16	1800000	62.742	66.9943	1871.19
16	1900000	59.442	69.5394	1975.07
16	2000000	54.108	74.8014	2169.77
16	2100000	51.192	81.3552	2293.37
16	2200000	50.622	84.8425	2319.19
16	2300000	51.63	85.6065	2273.91
16	2400000	48.336	88.8528	2428.87
17	1200000	90.702	45.0023	1294.37
17	1300000	86.016	48.7036	1364.89
17	1400000	78.084	52.2747	1503.53
17	1500000	78.318	54.1347	1499.04
17	1600000	72.252	59.1201	1624.9
17	1700000	67.614	63.7672	1736.36
17	1800000	62.322	68.9847	1883.8
17	1900000	61.35	71.3586	1913.64
17	2000000	62.616	73.5683	1874.95
17	2100000	54.102	79.2147	2170.01
17	2200000	52.08	84.2097	2254.26
17	2300000	49.65	88.9431	2364.59
17	2400000	47.91	91.8446	2450.47
18	1200000	92.01	46.439	1275.97
18	1300000	85.806	49.9907	1368.23
18	1400000	78.942	53.5269	1487.19
18	1500000	74.994	56.7112	1565.49
18	1600000	74.514	59.8627	1575.57
18	1700000	71.502	62.8434	1641.94
18	1800000	64.938	67.3925	1807.91
18	1900000	66.246	69.3066	1772.21
18	2000000	63.624	73.8447	1845.25
18	2100000	54.846	83.0086	2140.58
18	2200000	53.538	85.4877	2192.87
18	2300000	50.478	91.0169	2325.81
18	2400000	51.204	93.5506	2292.83
19	1200000	91.848	47.872	1278.22
19	1300000	85.104	49.824	1379.51
19	1400000	80.838	54.6462	1452.31
19	1500000	76.14	58.1579	1541.92
19	1600000	69.708	63.1299	1684.2
19	1700000	67.128	66.3168	1748.93
19	1800000	63.78	70.1962	1840.73
19	1900000	62.4	74.537	1881.44
19	2000000	58.986	78.054	1990.34
19	2100000	55.902	83.0961	2100.14
19	2200000	52.206	87.9128	2248.82
19	2300000	50.874	91.8468	2307.7
19	2400000	50.52	96.9831	2323.87
20	1200000	95.658	47.6453	1227.31
20	1300000	91.554	49.178	1282.33
20	1400000	89.826	53.4483	1306.99
20	1500000	81.228	58.5564	1445.34
20	1600000	73.44	64.3927	1598.61
20	1700000	71.97	64.9377	1631.26
20	1800000	67.74	71.334	1733.13
20	1900000	64.386	74.4236	1823.41
20	2000000	61.044	80.1458	1923.24
20	2100000	58.74	82.948	1998.67
20	2200000	57.612	87.787	2037.8
20	2300000	54.348	92.0248	2160.19
20	2400000	53.424	95.294	2197.55
21	1200000	99.804	48.2222	1176.33
21	1300000	91.908	51.8962	1277.39
21	1400000	88.29	55.599	1329.73
21	1500000	80.616	59.9243	1456.31
21	1600000	77.454	63.2704	1515.76
21	1700000	72.276	67.031	1624.36
21	1800000	68.502	72.6061	1713.85
21	1900000	68.532	75.845	1713.1
21	2000000	68.088	79.1883	1724.27
21	2100000	61.104	86.4757	1921.35
21	2200000	55.464	89.9022	2116.72
21	2300000	54.852	95.8299	2140.34
21	2400000	54.024	98.002	2173.15
22	1200000	104.178	49.355	1126.94
22	1300000	91.98	52.9662	1276.39
22	1400000	86.19	57.3947	1362.13
22	1500000	86.28	60.2622	1360.71
22	1600000	80.142	64.8269	1464.92
22	1700000	72.978	67.6734	1608.73
22	1800000	73.446	73.2576	1598.48
22	1900000	64.968	77.9431	1807.07
22	2000000	67.56	81.1431	1737.74
22	2100000	62.4	86.4796	1881.44
22	2200000	58.776	90.9645	1997.45
22	2300000	56.928	96.648	2062.29
22	2400000	54.234	99.5947	2164.73
