#Workers    Frequency   Time    Watts   Bandwidth
12	1400000	114.712	44.3448	564.806
12	1500000	105.937	47.5056	611.59
12	1600000	99.389	50.7698	651.883
12	1700000	93.49	54.1507	693.015
12	1800000	88.744	57.328	730.078
12	1900000	83.645	61.4565	774.583
12	2000000	88.568	62.9062	731.528
12	2100000	75.397	67.8957	859.318
12	2200000	73.15	71.1321	885.714
12	2300000	69.436	75.4394	933.089
12	2400000	70.425	78.1279	919.986
13	1200000	124.594	39.8435	520.009
13	1300000	113.753	43.1125	569.567
13	1400000	105.029	46.4224	616.877
13	1500000	100.737	49.1455	643.16
13	1600000	92.002	52.9565	704.224
13	1700000	87.48	56.5754	740.626
13	1800000	83.224	60.0067	778.501
13	1900000	81.021	62.9429	799.669
13	2000000	73.538	67.1626	881.041
13	2100000	69.99	71.2598	925.704
13	2200000	68.787	74.719	941.893
13	2300000	63.697	79.0849	1017.16
13	2400000	61.481	82.6843	1053.82
14	1200000	116.939	41.6445	554.05
14	1300000	106.107	44.9962	610.61
14	1400000	99.867	48.1508	648.763
14	1500000	91.204	51.6853	710.386
14	1600000	85.746	55.5634	755.604
14	1700000	81.06	59.1052	799.284
14	1800000	81.66	61.7456	793.412
14	1900000	83.77	63.5928	773.427
14	2000000	69.356	70.3962	934.166
14	2100000	65.097	74.0689	995.284
14	2200000	62.492	77.9547	1036.77
14	2300000	59.926	81.9428	1081.17
14	2400000	57.502	86.5086	1126.74
15	1200000	108.217	43.5421	598.704
15	1300000	100.706	46.6933	643.358
15	1400000	100.853	48.7399	642.42
15	1500000	92.492	52.5872	700.493
15	1600000	90.243	56.3914	717.95
15	1700000	76.895	61.3678	842.578
15	1800000	71.808	64.8668	902.267
15	1900000	67.581	68.8353	958.701
15	2000000	66.63	73.3027	972.385
15	2100000	66.14	76.0956	979.589
15	2200000	59.078	81.5105	1096.69
15	2300000	64.41	83.9277	1005.9
15	2400000	57.993	89.0586	1117.2
16	1200000	102.591	45.1685	631.537
16	1300000	103.913	46.6184	623.502
16	1400000	88.244	52.0806	734.214
16	1500000	83.177	55.8125	778.941
16	1600000	78.773	59.3219	822.49
16	1700000	76.67	63.0305	845.05
16	1800000	72.877	66.7578	889.032
16	1900000	64.853	71.7326	999.029
16	2000000	61.44	76.3689	1054.52
16	2100000	59.491	80.6584	1089.07
16	2200000	57.616	84.3339	1124.51
16	2300000	55.81	87.461	1160.9
16	2400000	59.345	91.4105	1091.75
17	1200000	100.06	46.5114	647.511
17	1300000	92.849	49.7256	697.8
17	1400000	85.46	53.9775	758.132
17	1500000	84.372	56.9224	767.909
17	1600000	75.87	61.115	853.961
17	1700000	71.402	65.5804	907.398
17	1800000	70.857	69.2639	914.377
17	1900000	64.121	73.9336	1010.43
17	2000000	60.321	78.7108	1074.09
17	2100000	58.412	82.6706	1109.19
17	2200000	61.795	85.8096	1048.47
17	2300000	53.488	91.7818	1211.3
17	2400000	52.024	96.321	1245.39
18	1200000	103.124	46.972	628.273
18	1300000	96.371	49.6426	672.298
18	1400000	89.622	53.6351	722.925
18	1500000	79.013	59.2766	819.992
18	1600000	73.999	63.654	875.552
18	1700000	69.834	67.4777	927.772
18	1800000	69.972	71.2502	925.942
18	1900000	65.247	74.479	992.996
18	2000000	68.84	77.7814	941.168
18	2100000	64.646	80.969	1002.23
18	2200000	57.808	88.8823	1120.78
18	2300000	53.627	93.5114	1208.16
18	2400000	48.768	99.7128	1328.54
19	1200000	97.145	49.1859	666.941
19	1300000	101.911	50.2227	635.751
19	1400000	91.214	55.6013	710.308
19	1500000	86.21	58.0087	751.537
19	1600000	80.947	63.4914	800.4
19	1700000	79.841	67.8949	811.488
19	1800000	69.976	72.682	925.889
19	1900000	67.897	77.2907	954.24
19	2000000	62.329	82.4073	1039.48
19	2100000	60.275	86.8817	1074.91
19	2200000	60.969	91.0847	1062.67
19	2300000	52.61	96.2253	1231.51
19	2400000	58.741	99.618	1102.98
20	1200000	109.773	47.9467	590.218
20	1300000	96.453	52.0565	671.726
20	1400000	91.326	57.4664	709.437
20	1500000	80.807	62.4436	801.787
20	1600000	82.922	63.5798	781.337
20	1700000	74.983	69.7957	864.063
20	1800000	74.172	72.367	873.51
20	1900000	66.501	78.806	974.271
20	2000000	62.682	83.7304	1033.63
20	2100000	61.547	86.1199	1052.69
