TimestampMillisecs	[[EmitterVc][WorkersVc][CollectorVc]]	Workers	Frequency	CurrentBandwidth	SmoothedBandwidth	CoeffVarBandwidth	SmoothedLatency	SmoothedUtilization	SmoothedWatts	
995753	[[0][2,3,][1]]	2	1300000	5.2998	5.25489	2.43746	3.80846e+08	99.9994	26.8475	
996515	[[0][2,3,][1]]	2	1300000	5.27808	5.25387	2.43308	3.80919e+08	99.9994	26.7992	
997329	[[0][2,3,][1]]	2	1300000	4.96946	5.21751	2.91692	3.83677e+08	99.9995	26.7639	
998082	[[0][2,3,][1]]	2	1300000	5.28357	5.21003	2.80659	3.84206e+08	99.9995	26.7197	
998838	[[0][2,3,][1]]	2	1300000	5.32918	5.23575	2.70822	3.82299e+08	99.9995	26.7226	
999564	[[0][2,3,][1]]	2	1300000	5.52072	5.28787	2.66832	3.78515e+08	99.9994	26.9125	
1000287	[[0][2,3,][1]]	2	1300000	5.4544	5.3031	2.84167	3.77468e+08	99.9994	27.046	
1001055	[[0][2,3,][1]]	2	1300000	5.25227	5.28715	2.7669	3.78577e+08	99.9994	27.1209	
1001803	[[0][2,3,][1]]	2	1300000	5.36903	5.30289	2.74814	3.77448e+08	99.9994	27.1191	
1002570	[[0][2,3,][1]]	2	1300000	5.17583	5.29323	2.85415	3.78157e+08	99.9994	27.1292	
1003319	[[0][2,3,][1]]	2	1300000	5.37105	5.30036	2.88825	3.77656e+08	99.9994	27.1835	
1004073	[[0][2,3,][1]]	2	1300000	5.30789	5.30334	2.88301	3.77442e+08	99.9994	27.2039	
1004845	[[0][2,3,][1]]	2	1300000	5.1946	5.32585	2.0346	3.7568e+08	99.9994	27.2509	
1005618	[[0][2,3,][1]]	2	1300000	5.27586	5.32508	2.04168	3.75748e+08	99.9994	27.2824	
1006364	[[0][2,3,][1]]	2	1300000	5.33159	5.32532	2.04183	3.75731e+08	99.9994	27.2521	
1007136	[[0][2,3,][1]]	2	1300000	5.24362	5.29762	1.63143	3.77652e+08	99.9995	27.0545	
1007898	[[0][2,3,][1]]	2	1300000	5.21944	5.27412	1.31416	3.79297e+08	99.9995	26.9147	
